"measuring","weather station","month","time","Air temperature"
"Average","Qaqortoq","January","2011",-2.6
"Average","Qaqortoq","January","2012",-5.2
"Average","Qaqortoq","January","2013",-2.5
"Average","Qaqortoq","January","2014",-4.4
"Average","Qaqortoq","January","2015",-8.0
"Average","Qaqortoq","January","2016",-3.3
"Average","Qaqortoq","January","2017",-4.4
"Average","Qaqortoq","January","2018",...
"Average","Qaqortoq","January","2019",-3.5
"Average","Qaqortoq","January","2020",-8.2
"Average","Qaqortoq","January","2021",-0.4
"Average","Qaqortoq","February","1993",-9.1
"Average","Qaqortoq","February","1994",-6.6
"Average","Qaqortoq","February","1995",-7.2
"Average","Qaqortoq","February","1996",-3.8
"Average","Qaqortoq","February","1997",-10.3
"Average","Qaqortoq","February","1998",-8.8
"Average","Qaqortoq","February","1999",-6.8
"Average","Qaqortoq","February","2000",-7.7
"Average","Qaqortoq","February","2001",-5.6
"Average","Qaqortoq","February","2002",-7.4
"Average","Qaqortoq","February","2003",-6.9
"Average","Qaqortoq","February","2004",...
"Average","Qaqortoq","February","2005",-0.6
"Average","Qaqortoq","February","2006",-1.9
"Average","Qaqortoq","February","2007",...
"Average","Qaqortoq","February","2008",-7.7
"Average","Qaqortoq","February","2009",-1.8
"Average","Qaqortoq","February","2010",2.0
"Average","Qaqortoq","February","2011",-4.3
"Average","Qaqortoq","February","2012",-4.0
"Average","Qaqortoq","February","2013",-2.7
"Average","Qaqortoq","February","2014",-4.8
"Average","Qaqortoq","February","2015",-7.8
"Average","Qaqortoq","February","2016",-3.1
"Average","Qaqortoq","February","2017",-4.6
"Average","Qaqortoq","February","2018",-11.1
"Average","Qaqortoq","February","2019",-2.8
"Average","Qaqortoq","February","2020",-7.4
"Average","Qaqortoq","February","2021",-3.1
"Average","Qaqortoq","March","1993",-10.2
"Average","Qaqortoq","March","1994",-7.6
"Average","Qaqortoq","March","1995",-10.8
"Average","Qaqortoq","March","1996",-2.1
"Average","Qaqortoq","March","1997",-6.2
"Average","Qaqortoq","March","1998",-5.4
"Average","Qaqortoq","March","1999",-4.1
"Average","Qaqortoq","March","2000",-5.3
"Average","Qaqortoq","March","2001",-1.8
"Average","Qaqortoq","March","2002",-5.6
"Average","Qaqortoq","March","2003",-2.6
"Average","Qaqortoq","March","2004",...
"Average","Qaqortoq","March","2005",0.8
"Average","Qaqortoq","March","2006",0.7
"Average","Qaqortoq","March","2007",...
"Average","Qaqortoq","March","2008",-4.3
"Average","Qaqortoq","March","2009",-4.6
"Average","Qaqortoq","March","2010",-0.5
"Average","Qaqortoq","March","2011",-4.5
"Average","Qaqortoq","March","2012",-5.7
"Average","Qaqortoq","March","2013",0.4
"Average","Qaqortoq","March","2014",-4.8
"Average","Qaqortoq","March","2015",-8.1
"Average","Qaqortoq","March","2016",-2.3
"Average","Qaqortoq","March","2017",-2.2
"Average","Qaqortoq","March","2018",-3.4
